Vowel	Dur	F1	F2	SE
iA	66	395	1579	0.9
u	90	367	1165	0.8
aR	66	375	1701	0.8
a	113	637	1372	2.3
eh	582	576	1869	2.1
oh	87	627	1203	4.8
A	47	515	1592	2.5
a	161	742	1492	5.2
I	44	391	1625	0.5
O	36	364	1034	0.4
e	52	450	1311	1.8
aI	99	516	1601	2.3
I	69	370	1642	1.8
a	168	708	1370	3.9
eh	183	589	1843	1.4
O	53	379	1208	0.5
e	37	386	1778	2.2
I	28	317	1713	0.6
eh	103	588	1751	4
I	36	314	1935	0.2
E	51	440	1948	0.9
I	23	327	1963	0.2
E	32	349	1648	0.7
A	41	430	1783	3.2
i	55	416	1802	3.1
I	25	309	2034	0.3
A	42	444	1437	2
Ua	96	535	1176	3.6
O	43	375	1038	1
e	52	346	1579	0.2
i	61	307	2006	0.3
a	65	487	1722	2.8
I	51	322	2020	0.5
eI	189	402	2025	1.5
A	61	413	1539	0.5
I	96	294	2297	0.2
aI	94	575	1939	2.4
i	72	310	2191	0.5
eh	162	586	1888	3.2
U	55	309	1234	0.3
A	81	766	1377	1.1
eh	89	526	1821	3.3
a	274	736	1425	4.2
a	109	739	1360	2.1
u	134	283	684	0.4
A	71	427	1125	2.3
U	67	329	933	0.5
i	28	293	2117	0.1
U	58	343	876	0.4
a	179	679	1144	1.8
I	71	392	2099	1.4
a	63	515	2121	2.2
i	69	393	2037	1.1
e	36	434	1677	2.1
aI	83	515	1790	3.6
I	37	390	1820	1.8
a	188	701	1253	3.4
a	89	823	1645	1.5
I	38	311	2025	0.1
eI	132	359	2168	0.4
A	35	415	1751	0.2
a	135	719	1255	3.8
Ua	203	719	1172	4.2
A	73	336	1066	0.7
aI	79	574	1874	1.5
E	31	410	2138	1.5
a	84	692	1713	4.4
a	119	791	1296	5.4
A	41	522	973	1.6
a	51	575	1459	2.8
aI	63	519	1557	2.7
aI	91	463	1827	2.2
i	54	304	1982	0.04
I	42	301	2113	0.07
u	24	302	1258	0.3
U	35	316	1699	0.05
IaR	231	698	1646	2.1
Ia	262	458	1937	0.6
a	46	487	1958	0.8
i	51	390	2022	1.3
O	31	358	1284	0.4
e	32	367	1823	0.4
eh	274	564	1991	1
eh	127	654	1642	4.1
a	48	447	1863	1.6
i	35	421	2580	1.3
A	149	585	1336	1.9
A	60	508	1110	1.7
Ua	70	365	954	0.7
i	23	281	1797	0.2
U	60	287	781	0.3
a	189	725	1219	3
I	60	294	2160	0.1
aI	57	549	1442	2.4
A	105	729	1638	3.5
eh	221	609	1720	4.8
a	66	720	1249	2.1
I	38	285	1772	0.2
O	60	427	1021	3.4
eh	160	566	1815	3.3
A	35	426	1660	1.1
aU	114	700	1237	4.5
eh	112	544	1694	3.1
aR	84	553	1605	3.1
a	156	775	1503	2.4
E	53	355	1548	0.5
oI	105	396	1575	1
aI	100	573	1597	2.9
aI	75	512	1798	1.4
O	44	449	1485	2.6
A	85	592	1323	3.3
uA	162	344	774	0.7
aI	67	486	1417	2.1
I	24	270	2176	0.1
Ua	55	363	967	1
i	32	281	2117	0.1
U	44	322	823	0.7
a	115	734	1351	3.9
O	43	361	1087	0.9
e	34	420	1488	3.1
aI	65	527	1428	3.9
E	48	427	1799	2.4
a	75	625	1481	4.2
E	79	405	1749	0.9
u	72	334	795	0.3
U	40	317	959	0.6
E	47	429	1709	2
aU	76	520	1118	3.4
eR	54	396	1696	2.1
I	34	334	1657	0.3
a	165	703	1458	1.5
iU	84	260	1623	0.2
i	265	292	2161	1.2
a	131	573	2004	1.5
i	168	332	2185	0.1
eh	372	589	2071	2.9
O	49	399	1051	1
e	41	422	1887	2
E	24	375	1955	0.5
Ue?	104	380	1176	0.7
A	52	490	1260	4.1
eR	71	382	1769	0.6
a	126	703	1531	5.4
e	38	388	1760	1.7
I	32	353	1709	0.7
eh	93	589	1416	4.5
A	33	561	1305	3
eh	93	588	1613	5.4
aI	61	484	1941	2.4
e	77	387	1924	2.2
ohR	125	567	1264	5
U	37	348	1096	0.6
a	126	642	1363	4.3
U	35	366	1137	0.6
a	79	645	1199	4.5
e	66	397	1269	1.6
U	130	320	937	0.1
U	38	300	1079	0.1
E	78	346	1482	0.1
eh	558	549	1773	1.4
i	101	316	2152	0.05
i	24	339	1966	0.5
aI	106	555	1715	3.9
a	81	542	1735	2.8
i	118	333	2232	0.7
O	53	462	1162	2.2
A	64	582	1366	4.3
oh	152	506	1030	2.6
aI	115	598	1945	1.4
e	29	430	1528	2.9
aI	67	523	1509	4
E	64	450	1995	3.2
a	96	644	1539	5.2
A	66	581	1446	3.5
uA	188	343	861	1.5
a	85	670	1262	2.9
uA	79	388	940	2.4
U	30	369	1129	1.2
a	58	616	1194	4.1
U	31	316	1622	0.2
I	41	314	2356	0.05
eI	83	395	1993	1.8
a	60	500	1331	2.6
O	40	405	1083	1.4
a	52	563	1339	2
oh	190	516	1109	3
Ia	49	293	1752	0.1
eh	320	520	1971	0.9
aI	59	488	1800	1.3
i	58	348	2256	0.4
eh	135	549	1769	2.4
E	37	415	1708	2.3
a	79	676	1614	6.5
aI	61	508	1626	4
oR	87	482	1463	4.3
O	48	418	1031	2.6
A	65	581	1302	3.6
oh	185	546	1066	4.3
Ia	79	598	1750	0.6
eh	574	562	1909	2.2
a	55	548	1782	2.7
i	53	454	2134	2.2
a	89	474	2062	2.6
i	41	390	2182	1.1
e	46	462	1412	2.7
aI	125	560	1587	5.4
E	47	293	1350	0.1
aU	99	554	1106	4.7
a	51	639	1194	4
A	89	649	1498	3.8
a	132	751	1450	5.1
E	67	417	1712	1.9
a	142	669	1207	3.1
aR	109	552	1742	2.7
