Vowel	Dur	F1	F2	SE
iA	66	-0.84	-0.128	0.9
u	90	-1.042	-1.256	0.8
aR	66	-0.985	0.204	0.8
a	113	0.907	-0.692	2.3
eh	582	0.467	0.662	2.1
oh	87	0.835	-1.153	4.8
A	47	0.026	-0.093	2.5
a	161	1.665	-0.365	5.2
I	44	-0.869	-0.003	0.5
O	36	-1.064	-1.613	0.4
e	52	-0.443	-0.858	1.8
aI	99	0.034	-0.068	2.3
I	69	-1.021	0.043	1.8
a	168	1.42	-0.698	3.9
eh	183	0.561	0.591	1.4
O	53	-0.956	-1.139	0.5
e	37	-0.905	0.414	2.2
I	28	-1.403	0.237	0.6
eh	103	0.553	0.34	4
I	36	-1.425	0.841	0.2
E	51	-0.515	0.877	0.9
I	23	-1.331	0.918	0.2
E	32	-1.172	0.06	0.7
A	41	-0.587	0.427	3.2
i	55	-0.688	0.479	3.1
I	25	-1.461	1.111	0.3
A	42	-0.486	-0.515	2
Ua	96	0.171	-1.226	3.6
O	43	-0.985	-1.602	1
e	52	-1.194	-0.128	0.2
i	61	-1.475	1.035	0.3
a	65	-0.176	0.261	2.8
I	51	-1.367	1.073	0.5
eI	189	-0.79	1.087	1.5
A	61	-0.71	-0.237	0.5
I	96	-1.569	1.828	0.2
aI	94	0.46	0.852	2.4
i	72	-1.454	1.539	0.5
eh	162	0.539	0.713	3.2
U	55	-1.461	-1.068	0.3
A	81	1.839	-0.679	1.1
eh	89	0.106	0.531	3.3
a	274	1.622	-0.548	4.2
a	109	1.644	-0.725	2.1
u	134	-1.649	-2.566	0.4
A	71	-0.609	-1.365	2.3
U	67	-1.317	-1.888	0.5
i	28	-1.577	1.337	0.1
U	58	-1.216	-2.043	0.4
a	179	1.21	-1.313	1.8
I	71	-0.862	1.288	1.4
a	63	0.026	1.348	2.2
i	69	-0.855	1.119	1.1
e	36	-0.559	0.139	2.1
aI	83	0.026	0.446	3.6
I	37	-0.876	0.528	1.8
a	188	1.369	-1.016	3.4
a	89	2.25	0.051	1.5
I	38	-1.447	1.087	0.1
eI	132	-1.1	1.476	0.4
A	35	-0.696	0.34	0.2
a	135	1.499	-1.011	3.8
Ua	203	1.499	-1.237	4.2
A	73	-1.266	-1.526	0.7
aI	79	0.452	0.675	1.5
E	31	-0.732	1.394	1.5
a	84	1.304	0.237	4.4
a	119	2.019	-0.899	5.4
A	41	0.077	-1.779	1.6
a	51	0.46	-0.455	2.8
aI	63	0.055	-0.188	2.7
aI	91	-0.349	0.547	2.2
i	54	-1.497	0.969	0.04
I	42	-1.519	1.326	0.07
u	24	-1.512	-1.003	0.3
U	35	-1.411	0.199	0.05
IaR	231	1.348	0.054	2.1
Ia	262	-0.385	0.847	0.6
a	46	-0.176	0.904	0.8
i	51	-0.876	1.078	1.3
O	31	-1.107	-0.932	0.4
e	32	-1.042	0.536	0.4
eh	274	0.38	0.994	1
eh	127	1.03	0.043	4.1
a	48	-0.465	0.645	1.6
i	35	-0.652	2.598	1.3
A	149	0.532	-0.79	1.9
A	60	-0.024	-1.406	1.7
Ua	70	-1.057	-1.831	0.7
i	23	-1.663	0.466	0.2
U	60	-1.62	-2.302	0.3
a	189	1.543	-1.109	3
I	60	-1.569	1.454	0.1
aI	57	0.272	-0.501	2.4
A	105	1.571	0.032	3.5
eh	221	0.705	0.256	4.8
a	66	1.506	-1.027	2.1
I	38	-1.634	0.397	0.2
O	60	-0.609	-1.648	3.4
eh	160	0.395	0.515	3.3
A	35	-0.616	0.092	1.1
aU	114	1.362	-1.06	4.5
eh	112	0.236	0.185	3.1
aR	84	0.301	-0.057	3.1
a	156	1.904	-0.335	2.4
E	53	-1.129	-0.213	0.5
oI	105	-0.833	-0.139	1
aI	100	0.445	-0.079	2.9
aI	75	0.005	0.468	1.4
O	44	-0.45	-0.384	2.6
A	85	0.582	-0.826	3.3
uA	162	-1.208	-2.321	0.7
aI	67	-0.183	-0.57	2.1
I	24	-1.743	1.498	0.1
Ua	55	-1.071	-1.795	1
i	32	-1.663	1.337	0.1
U	44	-1.367	-2.188	0.7
a	115	1.608	-0.749	3.9
O	43	-1.086	-1.469	0.9
e	34	-0.66	-0.376	3.1
aI	65	0.113	-0.54	3.9
E	48	-0.609	0.471	2.4
a	75	0.821	-0.395	4.2
E	79	-0.768	0.335	0.9
u	72	-1.281	-2.264	0.3
U	40	-1.403	-1.817	0.6
E	47	-0.595	0.226	2
aU	76	0.062	-1.384	3.4
eR	54	-0.833	0.19	2.1
I	34	-1.281	0.084	0.3
a	165	1.384	-0.458	1.5
iU	84	-1.815	-0.008	0.2
i	265	-1.584	1.457	1.2
a	131	0.445	1.029	1.5
i	168	-1.295	1.522	0.1
eh	372	0.561	1.212	2.9
O	49	-0.811	-1.567	1
e	41	-0.645	0.711	2
E	24	-0.985	0.896	0.5
Ue?	104	-0.948	-1.226	0.7
A	52	-0.154	-0.997	4.1
eR	71	-0.934	0.389	0.6
a	126	1.384	-0.259	5.4
e	38	-0.891	0.365	1.7
I	32	-1.143	0.226	0.7
eh	93	0.561	-0.572	4.5
A	33	0.358	-0.875	3
eh	93	0.553	-0.036	5.4
aI	61	-0.197	0.858	2.4
e	77	-0.898	0.812	2.2
ohR	125	0.402	-0.986	5
U	37	-1.179	-1.444	0.6
a	126	0.943	-0.717	4.3
U	35	-1.049	-1.332	0.6
a	79	0.965	-1.163	4.5
e	66	-0.826	-0.973	1.6
U	130	-1.382	-1.877	0.1
U	38	-1.526	-1.49	0.1
E	78	-1.194	-0.393	0.1
eh	558	0.272	0.4	1.4
i	101	-1.411	1.433	0.05
i	24	-1.244	0.926	0.5
aI	106	0.315	0.242	3.9
a	81	0.221	0.297	2.8
i	118	-1.288	1.651	0.7
O	53	-0.356	-1.264	2.2
A	64	0.51	-0.709	4.3
oh	152	-0.039	-1.624	2.6
aI	115	0.626	0.869	1.4
e	29	-0.587	-0.267	2.9
aI	67	0.084	-0.319	4
E	64	-0.443	1.005	3.2
a	96	0.958	-0.237	5.2
A	66	0.503	-0.491	3.5
uA	188	-1.216	-2.084	1.5
a	85	1.145	-0.992	2.9
uA	79	-0.891	-1.869	2.4
U	30	-1.028	-1.354	1.2
a	58	0.756	-1.177	4.1
U	31	-1.411	-0.011	0.2
I	41	-1.425	1.988	0.05
eI	83	-0.84	0.999	1.8
a	60	-0.082	-0.804	2.6
O	40	-0.768	-1.479	1.4
a	52	0.373	-0.782	2
oh	190	0.034	-1.409	3
Ia	49	-1.577	0.343	0.1
eh	320	0.062	0.94	0.9
aI	59	-0.169	0.474	1.3
i	58	-1.179	1.716	0.4
eh	135	0.272	0.389	2.4
E	37	-0.696	0.223	2.3
a	79	1.189	-0.033	6.5
aI	61	-0.024	-0.0003	4
oR	87	-0.212	-0.444	4.3
O	48	-0.674	-1.621	2.6
A	65	0.503	-0.883	3.6
oh	185	0.25	-1.526	4.3
Ia	79	0.626	0.338	0.6
eh	574	0.366	0.771	2.2
a	55	0.265	0.425	2.7
i	53	-0.414	1.384	2.2
a	89	-0.27	1.187	2.6
i	41	-0.876	1.514	1.1
e	46	-0.356	-0.583	2.7
aI	125	0.351	-0.107	5.4
E	47	-1.577	-0.752	0.1
aU	99	0.308	-1.417	4.7
a	51	0.922	-1.177	4
A	89	0.994	-0.349	3.8
a	132	1.73	-0.48	5.1
E	67	-0.681	0.234	1.9
a	142	1.138	-1.142	3.1
aR	109	0.293	0.316	2.7
eh	448	0.2	0.73	0.6
eh	66	0.062	1.487	2.3
a	41	0.705	-0.297	2.9
U	38	-1.021	-1.267	0.6
a	71	1.153	-0.935	4.4
U	35	-1.389	0.215	0.2
e	60	-0.92	0.782	2.6
a	196	0.351	-0.463	1.5
A	38	-0.27	-0.496	0.9
o	81	-0.985	-1.659	1.3
Ia	186	-1.244	1.024	0.5
i	73	-1.165	1.607	1.3
a	64	0.106	1.127	1.7
i	83	-0.912	1.738	1.1
e	35	-0.551	0.204	2.5
aI	105	0.279	0.049	4
