vowel F1(Hz) F2(Hz) F3(Hz) rateF2(Hz/ms) f0Median(Hz) Baseline(Hz) SpectEmph(dB) 
a 763 1327 1714 -10.0 122 122 52.4 
u 438 1068 1807 3.1 129 129 31.8 
U 440 1124 2059 -2.4 139 138 29.3 
a 693 1325 1736 -1.3 108 98 47.2 
eh 523 1627 1792 -2.7 120 112 37.6 
O 538 1014 1804 2.0 131 129 33.4 
e 516 1422 1858 -0.3 130 125 29.0 
aI 658 1564 1824 7.7 118 114 46.3 
a 753 1457 1766 -6.5 105 101 39.9 
eh 643 770 1785 1.5 197 136 31.5 
eh 591 1619 1846 2.4 115 111 35.8 
a 764 1286 2028 2.4 132 129 39.7 
a 660 1269 1862 -1.2 --undefined-- --undefined-- --undefined-- 
eh 527 1563 1861 5.6 127 114 50.6 
O 521 979 1225 3.7 185 182 26.8 
e 492 1492 1566 -1.2 174 163 29.9 
aI 414 1359 2053 4.9 130 112 42.9 
E 451 1715 1919 1.2 144 141 28.6 
e 495 1826 1992 5.4 160 154 31.0 
a 622 1464 1804 -3.4 151 133 33.7 
a 737 1390 1655 5.2 115 112 51.2 
a 840 1274 2164 -0.3 122 122 34.4 
A 537 1317 1747 -2.3 120 --undefined-- 26.4 
a 538 1195 1395 -2.8 116 113 32.2 
a 679 1188 1869 5.2 116 114 32.6 
A 545 1171 1222 4.0 114 112 27.0 
I 460 1544 1848 -7.7 108 107 21.3 
aU 720 1026 2041 0.6 109 99 31.1 
A 560 1146 1325 1.7 136 135 42.0 
U 411 815 2147 -2.1 100 98 27.2 
U 459 1267 1748 -7.3 113 112 30.3 
Ieh 438 1859 1948 7.4 105 99 38.0 
a 645 1231 1886 -1.9 115 112 36.7 
eR 445 1600 1801 -12.2 105 93 38.1 
A 607 1455 1700 -2.0 95 95 36.7 
i 590 1982 2097 5.0 136 131 52.4 
a 788 1329 1997 4.9 124 116 54.5 
aI 498 1644 1899 9.0 132 118 40.5 
A 516 1422 1627 -0.5 109 91 38.3 
O 495 1001 1748 -0.5 124 122 33.0 
e 456 1506 1863 -8.3 131 125 30.5 
aI 410 1745 2132 0.9 125 112 38.9 
eh 517 1456 1760 -11.2 119 102 35.8 
a 735 1302 2124 -3.8 145 135 31.1 
i 415 2070 2181 4.4 135 125 28.5 
uA 484 646 2514 -11.0 156 104 34.5 
I 443 696 1952 --undefined-- 141 137 24.7 
U 479 1056 1784 -6.9 127 125 30.2 
a 671 1147 2055 2.6 120 119 34.3 
I 406 1248 1775 -7.7 117 --undefined-- 23.0 
eR 480 1623 1845 1.3 116 114 35.3 
U 421 1791 1950 6.2 112 111 24.6 
Ieh 436 1868 1990 1.4 105 99 35.1 
a 739 1339 1740 -7.0 123 115 39.0 
A 599 1243 1920 -1.9 139 138 33.9 
a 778 1226 2199 0.2 133 129 38.6 
aI 586 1473 1658 4.1 126 125 33.7 
A 640 1479 1806 -3.6 126 125 29.9 
A 601 1378 1838 -1.3 125 124 38.0 
E 457 1721 1811 6.1 123 120 41.5 
a 801 1242 2876 5.6 124 121 30.5 
uA 407 758 2197 -4.3 127 65 44.3 
eh 648 1489 1762 9.5 124 115 36.3 
I 451 1643 1987 7.1 130 123 29.7 
E 459 1734 1942 -7.7 144 128 34.6 
a 669 1337 1965 4.0 140 135 38.1 
I 407 1838 2007 10.7 153 151 31.0 
u 465 1170 1968 -7.3 147 147 26.5 
U 456 1192 1609 -8.7 155 154 30.2 
IaR 734 1408 1826 -2.6 128 103 40.4 
uI 424 1716 2094 4.7 130 121 26.8 
a 715 1347 2332 -4.9 97 80 30.1 
a 752 1360 1946 -0.5 133 130 31.8 
i 444 1828 2057 0.3 141 120 33.7 
O 508 872 2189 -0.8 171 167 33.2 
e 498 1395 1869 -1.8 158 147 38.0 
aI 400 1637 1962 4.4 126 108 57.7 
eh 578 1520 1863 -2.1 120 118 33.9 
u 369 804 2074 -7.1 159 157 29.9 
I 481 1963 2616 13.3 228 200 19.0 
A 561 1017 1633 20.9 200 190 24.4 
eh 570 1591 1857 -3.8 137 125 31.5 
aI 455 1679 1953 -4.1 125 121 27.0 
i 483 564 2093 --undefined-- 183 159 25.0 
i 397 2035 2211 6.3 143 141 32.3 
aI 444 726 2013 -3.0 167 148 44.7 
i 448 1749 2024 13.7 158 147 22.3 
U 451 871 2460 -10.7 218 212 22.5 
eh 528 1738 1955 3.7 123 106 34.0 
a 728 1197 2296 -6.1 127 119 31.4 
I 471 1719 1917 6.8 147 146 21.8 
E 460 1703 1823 -2.4 146 143 25.6 
I 446 1622 2119 0.6 140 139 32.6 
Io 487 1284 1732 -5.3 141 140 27.3 
eh 559 1217 1647 3.7 138 134 44.5 
A 545 1507 1808 1.0 143 138 25.7 
aU 607 934 1777 -1.9 102 96 33.5 
a 661 1221 1757 -5.8 113 108 43.8 
a 592 1221 1585 -1.8 114 113 26.4 
eh 555 1551 1754 -0.0 103 96 57.3 
eI 412 1700 1925 8.4 131 117 29.0 
eh 446 1672 1926 8.5 117 113 26.1 
e 481 1692 1793 -5.3 131 130 26.3 
U 457 1153 1961 -3.2 133 131 24.4 
a 765 1211 2309 4.7 133 131 32.8 
U 426 826 2033 -2.6 129 101 40.8 
e 542 1290 1722 -7.7 129 126 27.2 
A 672 1270 2127 4.3 125 125 25.3 
aU 559 912 1944 0.8 133 127 43.8 
a 668 1170 1403 -0.1 128 128 33.3 
A 553 1337 1493 -1.3 137 137 32.0 
uI 384 2098 2930 8.4 151 134 34.0 
A 632 960 1713 -18.1 97 94 36.5 
aI 547 1605 1781 3.9 139 132 44.0 
E 472 1609 1816 0.8 180 170 36.9 
I 425 1719 2000 5.9 123 123 29.5 
eh 559 1635 1829 2.2 122 122 32.8 
A 547 1097 1711 -2.1 118 114 34.0 
aU 548 820 2132 -2.1 130 103 37.1 
ah 718 1221 2005 -11.0 153 64 42.7 
eh 623 1575 1731 2.1 120 118 41.3 
A 752 1191 2601 -0.1 132 128 28.5 
I 408 1735 1966 1.6 121 121 32.3 
Io 515 1258 1758 -4.3 119 112 36.0 
eh 591 1594 1768 6.2 117 113 36.6 
A 563 1478 1565 -7.4 115 114 28.1 
aU 663 1126 1919 -0.7 134 127 31.7 
O 511 983 1397 3.9 134 130 37.7 
e 430 1704 1734 -0.5 155 141 31.8 
eh 571 1676 1731 2.2 112 69 46.5 
U 519 1092 2029 -4.3 --undefined-- --undefined-- --undefined-- 
e 425 1655 1835 6.9 123 123 35.2 
a 690 1175 2140 -1.6 114 110 30.9 
a 682 1219 2035 -1.9 113 109 43.8 
uA 495 800 2135 -2.2 161 83 34.6 
A 745 1227 2607 -4.0 156 94 31.4 
eh 569 1675 1803 0.6 149 144 32.6 
E 524 1264 1767 -0.1 181 175 22.6 
a 731 1261 1862 -7.1 164 161 26.1 
E 489 1534 1719 2.1 166 161 26.3 
E 487 1619 1856 4.1 120 119 40.8 
aU 592 1009 1681 -4.5 117 113 34.3 
eR 485 1453 1639 5.4 124 122 38.5 
I 438 1628 2086 1.0 142 --undefined-- 25.5 
a 638 1212 1860 2.6 98 89 38.2 
Ueh 469 1032 1995 -6.8 104 100 43.9 
Ia 610 1551 1795 -6.9 97 87 33.9 
Ueh 489 1486 1912 -10.2 113 113 41.4 
Iu 383 808 2227 -7.4 115 98 40.6 
Ueh 483 1037 1912 -0.6 104 102 37.9 
Iu 431 1366 2049 -1.2 106 90 28.7 
eh 594 1506 1642 -1.9 121 120 37.7 
E 446 1661 1981 -4.6 142 139 28.1 
E 424 1838 1884 6.0 114 109 37.8 
eh 613 1457 1878 2.0 103 98 47.5 
E 431 1650 1968 0.1 134 132 31.6 
E 417 1539 1724 5.0 130 126 29.7 
O 482 911 2132 4.0 154 152 31.8 
e 465 1687 1931 0.4 153 153 26.8 
A 762 1387 1930 1.1 125 122 42.5 
eh 533 1720 1904 -4.5 162 134 34.6 
A 750 1434 1832 4.4 132 130 30.3 
eh 518 1604 1764 -6.4 156 152 31.9 
O 525 954 1322 -4.6 186 182 31.1 
e 409 1740 1855 -12.5 191 182 28.1 
e 464 1915 2007 10.7 164 156 40.1 
Ieh 578 1603 1881 -1.4 137 133 31.5 
i 398 1904 2145 6.4 143 140 28.8 
U 440 986 2137 5.7 137 134 25.1 
e 431 1787 1976 -6.4 137 136 36.8 
e 474 1479 1886 0.5 149 139 30.1 
eh 547 1739 1929 14.5 110 95 35.2 
i 434 1822 2134 -1.3 144 128 27.9 
a 548 1562 1838 -5.2 137 136 32.6 
i 442 1774 2053 14.2 144 141 31.8 
i 428 1780 2058 8.2 140 139 23.7 
a 505 1815 2032 0.3 140 138 26.5 
i 439 1839 2012 -6.5 143 142 33.6 
aI 484 1837 1977 5.0 162 159 35.6 
uA 419 646 2328 0.2 132 95 41.3 
aI 645 1561 1980 -0.6 126 104 33.1 
aI 547 1655 1807 -6.6 143 117 28.6 
a 668 1439 1758 2.2 130 127 40.4 
i 494 1590 1832 -10.4 133 132 37.0 
O 499 993 1708 1.5 156 151 28.1 
e 420 1734 1920 0.7 176 168 22.2 
i 367 1954 2128 2.1 175 172 24.1 
A 582 1356 1769 -0.6 175 174 32.7 
Ua 519 982 1292 -3.2 187 185 28.7 
I 471 1989 2107 19.6 224 215 22.6 
eI 423 1912 2102 -7.6 136 97 33.7 
